Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2021,Opelka R.,Lu Y.,38,1009.0,USA,2015,100,211,Right,TPE,2001.0,74.0,180.0,Right,Yes,-971.0,High,Yes
2021,Wawrinka S.,Sousa P.,18,107.0,SUI,2002,81,183,Right,POR,2007.0,70.0,178.0,Right,Yes,-89.0,High,Yes
2021,Bolt A.,Gombos N.,166,89.0,AUS,2011,84,183,Left,SVK,2009.0,85.0,196.0,Right,No,77.0,High,No
2021,Martinez P.,Nishioka Y.,87,58.0,ESP,2016,76,185,Right,JPN,2014.0,64.0,170.0,Left,No,29.0,Low,No
2021,Fritz T.,Ramos-Vinolas A.,31,46.0,USA,2015,84,193,Right,ESP,2007.0,80.0,188.0,Left,Yes,-15.0,Low,No
2021,Fucsovics M.,Polmans M.,55,126.0,HUN,2010,82,188,Right,AUS,2015.0,77.0,188.0,Right,Yes,-71.0,Medium,Yes
2021,Thiem D.,Kukushkin M.,3,90.0,AUT,2011,82,185,Right,KAZ,2006.0,72.0,183.0,Right,Yes,-87.0,High,Yes
2021,Karatsev A.,Mager G.,114,96.0,RUS,2011,85,185,Right,POL,2015.0,81.0,96.0,Right,No,18.0,Low,Yes
2021,Kecmanovic M.,Majchrzak K.,41,109.0,SRB,2017,75,183,Right,POL,2013.0,78.0,180.0,Right,Yes,-68.0,Medium,Yes
2021,Zverev A.,Giron M.,7,75.0,GER,2013,86,198,Right,USA,2014.0,77.0,180.0,Right,Yes,-68.0,Medium,Yes
2021,Bublik A.,Bedene A.,45,57.0,KAZ,2014,76,196,Right,GBR,2008.0,72.0,183.0,Right,Yes,-12.0,Low,Yes
2021,Gerasimov E.,Paire B.,79,29.0,BLR,2010,84,183,Right,FRA,2007.0,80.0,196.0,Right,No,50.0,Medium,Yes
2021,Duckworth J.,Dzumhur D.,105,120.0,AUS,2010,82,183,Right,BIH,2011.0,70.0,175.0,Right,Yes,-15.0,Low,Yes
2021,Vesely J.,Coppejans K.,68,178.0,CZE,2009,92,198,Left,,,,,,Yes,-110.0,High,
2021,Humbert U.,Uchiyama Y.,34,106.0,FRA,2016,73,188,Left,JPN,2011.0,78.0,183.0,Right,Yes,-72.0,Medium,No
2021,Muller A.,Londero J.I.,210,83.0,FRA,2014,75,183,Right,ARG,2010.0,70.0,180.0,Right,No,127.0,High,Yes
2021,Carreno Busta P.,Nishikori K.,16,42.0,ESP,2009,78,188,Right,JPN,2007.0,75.0,178.0,Right,Yes,-26.0,Low,Yes
2021,Tiafoe F.,Travaglia S.,64,60.0,USA,2015,77,188,Right,ITA,2008.0,80.0,185.0,Right,No,4.0,Low,Yes
2021,Dimitrov G.,Cilic M.,21,43.0,BUL,2008,80,191,Right,CRO,2005.0,89.0,198.0,Right,Yes,-22.0,Low,Yes
2021,Koepfer D.,Dellien H.,70,112.0,GER,2016,79,180,Left,BOL,2009.0,75.0,180.0,Right,Yes,-42.0,Medium,No
2021,Lajovic D.,Stakhovsky S.,27,200.0,SRB,2007,78,183,Right,UKR,2003.0,80.0,193.0,Right,Yes,-173.0,High,Yes
2021,Auger-Aliassime F.,Stebe C.M.,19,129.0,CAN,2016,84,188,Right,GER,2010.0,70.0,183.0,Left,Yes,-110.0,High,No
2021,Schwartzman D.,Ymer E.,9,205.0,ARG,2010,64,170,Right,SWE,2014.0,78.0,183.0,Right,Yes,-196.0,High,Yes
2021,Tomic B.,Sugita Y.,233,104.0,AUS,2008,91,196,Right,JPN,2006.0,70.0,175.0,Right,No,129.0,High,Yes
2021,Kyrgios N.,Ferreira Silva F.,47,185.0,AUS,2013,85,193,Right,,,,,,Yes,-138.0,High,
2021,Cressy M.,Daniel T.,172,118.0,USA,2019,91,198,Right,JPN,2010.0,76.0,191.0,Right,No,54.0,Medium,Yes
2021,Djokovic N.,Chardy J.,1,61.0,SRB,2003,77,188,Right,FRA,2005.0,75.0,188.0,Right,Yes,-60.0,Medium,Yes
2021,Shapovalov D.,Sinner J.,12,32.0,CAN,2016,76,183,Left,ITA,2018.0,76.0,188.0,Right,Yes,-20.0,Low,No
2021,Harris L.,Torpegaard M.,91,188.0,RSA,2015,80,193,Right,DEN,2018.0,84.0,193.0,Right,Yes,-97.0,High,Yes
2021,Mcdonald M.,Cecchinato M.,192,82.0,USA,2016,73,178,Right,ITA,2010.0,78.0,185.0,Right,No,110.0,High,Yes
2021,Monteiro T.,Martin A.,74,103.0,BRA,2011,78,183,Left,ESP,1995.0,73.0,175.0,Right,Yes,-29.0,Low,No
2021,O Connell C.,Struff J.L.,121,37.0,AUS,2011,78,183,Right,GER,2009.0,87.0,196.0,Right,No,84.0,High,Yes
2021,Coric B.,Pella G.,25,44.0,CRO,2013,79,185,Right,ARG,2007.0,83.0,185.0,Left,Yes,-19.0,Low,No
2021,Alcaraz C.,Van De Zandschulp B.,141,151.0,ESP,2018,72,185,Right,NED,2018.0,83.0,188.0,Right,Yes,-10.0,Low,Yes
2021,Ymer M.,Hurkacz H.,95,30.0,SWE,2015,75,183,Right,ITA,2013.0,77.0,188.0,Right,No,65.0,Medium,Yes
2021,Rublev A.,Hanfmann Y.,8,102.0,RUS,2014,68,188,Right,GER,2015.0,84.0,193.0,Right,Yes,-94.0,High,Yes
2021,Popyrin A.,Goffin D.,113,15.0,AUS,2017,78,196,Right,BEL,2009.0,68.0,180.0,Right,No,98.0,High,Yes
2021,Khachanov K.,Vukic A.,20,196.0,RUS,2013,88,198,Right,AUS,2018.0,85.0,188.0,Right,Yes,-176.0,High,Yes
2021,Albot R.,Bautista Agut R.,85,13.0,MDA,2008,69,175,Right,ESP,2005.0,76.0,183.0,Right,No,72.0,Medium,Yes
2021,Cuevas P.,Seppi A.,72,108.0,URU,2004,80,180,Right,ITA,2002.0,75.0,191.0,Right,Yes,-36.0,Medium,Yes
2021,Krajinovic F.,Haase R.,33,197.0,SRB,2008,75,185,Right,NED,2005.0,71.0,191.0,Right,Yes,-164.0,High,Yes
2021,Andujar P.,Halys Q.,59,207.0,ESP,2003,76,180,Right,FRA,2012.0,78.0,191.0,Right,Yes,-148.0,High,Yes
2021,Berankis R.,Nagal S.,73,144.0,LTU,2007,70,175,Right,IND,2015.0,69.0,178.0,Right,Yes,-71.0,Medium,Yes
2021,Medvedev D.,Pospisil V.,4,63.0,RUS,2014,81,198,Right,CAN,2007.0,84.0,193.0,Right,Yes,-59.0,Medium,Yes
2021,Lopez F.,Tu L.,65,,ESP,1997,73,185,Left,,,,,,,,,
2021,Sonego L.,Querrey S.,35,52.0,ITA,2013,76,191,Right,USA,2006.0,95.0,198.0,Right,Yes,-17.0,Low,Yes
2021,Paul T.,Basilashvili N.,53,40.0,USA,2015,78,185,Right,GEO,2008.0,79.0,185.0,Right,No,13.0,Low,Yes
2021,Nadal R.,Djere L.,2,56.0,ESP,2001,85,185,Left,SRB,2013.0,80.0,185.0,Right,Yes,-54.0,Medium,No
2021,Caruso S.,Laaksonen H.,78,139.0,ITA,2010,80,185,Right,SUI,2009.0,78.0,185.0,Right,Yes,-61.0,Medium,Yes
2021,Mmoh M.,Troicki V.,177,202.0,USA,2016,85,185,Right,SRB,2006.0,86.0,193.0,Right,Yes,-25.0,Low,Yes
2021,De Minaur A.,Sandgren T.,23,51.0,AUS,2015,69,180,Right,USA,2011.0,87.0,188.0,Right,Yes,-28.0,Low,Yes
2021,Carballes Baena R.,Balazs A.,99,94.0,ESP,2011,76,180,Right,HUN,2006.0,78.0,180.0,Right,No,5.0,Low,Yes
2021,Norrie C.,Evans D.,69,26.0,GBR,2017,80,188,Left,GBR,2006.0,75.0,175.0,Right,No,43.0,Medium,No
2021,Machac T.,Vilella Martinez M.,199,181.0,CZE,2017,74,183,Right,ESP,2013.0,74.0,178.0,Right,No,18.0,Low,Yes
2021,Fognini F.,Herbert P.H.,17,84.0,ITA,2004,74,178,Right,FRA,2010.0,79.0,188.0,Right,Yes,-67.0,Medium,Yes
